"ingredient code","Ingredient description","Nutrient code","Nutrient value","Nutrient value source","FDC ID","Derivation code","SR AddMod year","Foundation year acquired","Start date","End date"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","203","21.42","SR Legacy","175199","JO","2004","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","204","1.23","SR Legacy","175199","JO","2004","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","205","62.55","SR Legacy","175199","NC","2006","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","208","347","SR Legacy","175199","NC","2006","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","221","0","SR Legacy","175199","","1986","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","255","11.33","SR Legacy","175199","JO","2004","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","262","0","SR Legacy","175199","Z","2003","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","263","0","SR Legacy","175199","Z","2003","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","269","2.11","SR Legacy","175199","","2006","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","291","15.5","SR Legacy","175199","A","2003","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","301","113","SR Legacy","175199","JO","2004","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","303","5.07","SR Legacy","175199","JO","2004","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","304","176","SR Legacy","175199","JO","2004","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","305","411","SR Legacy","175199","JO","2004","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","306","1393","SR Legacy","175199","JO","2004","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","307","12","SR Legacy","175199","JO","2004","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","309","2.28","SR Legacy","175199","JO","2004","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","312","0.893","SR Legacy","175199","JO","2004","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","317","27.9","SR Legacy","175199","A","2003","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","319","0","SR Legacy","175199","Z","2002","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","320","0","SR Legacy","175199","","2006","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","321","0","SR Legacy","175199","A","2003","0","2017-01-01","2018-12-31"
